id,name,slug,table_name,icon,status,is_module,config,is_protected
12,Setting,settings,app_settings,"fa fa-gears",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""default_language"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""select"",""validations"":""required|exists:locales,code"",""inIndex"":true,""searchable"":true},{""name"":""email"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""email"",""validations"":""required|email"",""inIndex"":true,""searchable"":true},{""name"":""logo"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required|image|mimetypes:text\/plain,..."",""inIndex"":true,""searchable"":true},{""name"":""phone"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""latitude"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""number"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""longitude"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""number"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""playstore"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""appstore"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""social_links"",""primary"":false,""dbType"":""text,65535"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""app_version"",""primary"":false,""dbType"":""float"",""fillable"":true,""inForm"":true,""htmlType"":""number"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""force_update"",""primary"":false,""dbType"":""string,191"",""fillable"":true,""inForm"":true,""htmlType"":""checkbox"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":true,""searchable"":true},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",1
13,EmailTemplate,email-templates,email_templates,"fa fa-glass",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":true,""searchable"":true},{""name"":""key"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""html_body"",""primary"":false,""dbType"":""text,65535"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""text_body"",""primary"":false,""dbType"":""text,65535"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":true,""searchable"":true},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":true,""searchable"":true},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
14,Demand,demands,demands,"fa fa-life-saver",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""name"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""points"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
15,UserDemand,user-demands,user_demands,"fa fa-user-md",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""user_id"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""demand_id"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""points"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
16,Category,categories,categories,"fa fa-tree",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""name"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""status"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""is_forum"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""icon"",""primary"":false,""dbType"":""string,255"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
17,Library,libraries,libraries,"fa fa-book",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""category_id"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""name"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""description"",""primary"":false,""dbType"":""text,65535"",""fillable"":true,""inForm"":true,""htmlType"":""textarea"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""pdf"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""file"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""image"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""file"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""points"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":true,""searchable"":true},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
18,Defination,definations,definations,"fa fa-dedent",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""name"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""description"",""primary"":false,""dbType"":""text,65535"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""status"",""primary"":false,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
19,Webinar,webinars,webinars,"fa fa-users",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""name"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""date"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""start_time"",""primary"":false,""dbType"":""time"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""end_time"",""primary"":false,""dbType"":""time"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""zoom_link"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""status"",""primary"":false,""dbType"":""boolean"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":true,""searchable"":true},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
20,Email,emails,emails,"fa fa-mail-forward",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""emails"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""status"",""primary"":false,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":true,""searchable"":true},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
21,Video,videos,videos,"fa fa-video-camera",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""video_1"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""video_2"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""email"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
20,Sheet,sheets,sheets,"fa fa-file-text-o",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""link"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""status"",""primary"":false,""dbType"":""increments"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":true,""searchable"":true},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":false,""inForm"":false,""htmlType"":false,""validations"":false,""inIndex"":false,""searchable"":false}]",0
29,Customer,customers,customers,"fa fa-star",1,1,"[{""name"":""id"",""primary"":true,""dbType"":""increments"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""email"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""phone"",""primary"":false,""dbType"":""string,20"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""owner_name"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""entity"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""owner_address"",""primary"":false,""dbType"":""text,65535"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""subject_mark"",""primary"":false,""dbType"":""string,255"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""case_number"",""primary"":false,""dbType"":""string,100"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":true,""searchable"":true},{""name"":""created_at"",""primary"":false,""dbType"":""datetime"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""updated_at"",""primary"":false,""dbType"":""datetime"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":false,""searchable"":false},{""name"":""deleted_at"",""primary"":false,""dbType"":""datetime"",""fillable"":true,""inForm"":true,""htmlType"":""text"",""validations"":""required"",""inIndex"":false,""searchable"":false}]",0
